Component,,10th,9th,8th,7th,6th,5th,4th,3rd,2nd,Oldest Request
CIA,Date of Receipt,2004-04-07,2004-02-25,2004-01-13,2003-11-24,2003-07-15,2003-07-10,2003-05-19,2001-01-26,1999-09-01,1998-10-07
CIA,Number of Days Pending,2368,2409,2453,2503,2635,2640,2691,3535,4048,4377
