Component,Ex. 1,Ex. 2,Ex. 3,Ex. 4,Ex. 5,Ex. 6,Ex. 7(A),Ex. 7(B),Ex. 7(C),Ex. 7(D),Ex. 7(E),Ex. 7(F),Ex. 8,Ex. 9,
BIA,0,0,3,30,30,227,28,3,130,0,0,0,0,0,
BLM,0,31,20,45,86,177,9,0,39,1,0,6,0,7,
BOEMRE,0,5,0,20,12,23,0,0,3,0,5,0,0,2,
BOR,0,5,9,19,14,26,0,0,4,0,2,4,0,0,
FWS,0,11,3,19,82,88,34,0,44,11,24,1,0,0,
NPS,0,13,10,21,48,173,27,3,60,1,3,2,0,0,
OIG,0,6,1,0,29,73,7,0,69,1,3,0,0,0,
OS,0,3,5,16,27,36,0,0,4,0,1,2,0,0,
OSM,0,1,0,1,6,8,0,0,1,0,0,0,0,0,
SOL,0,1,1,2,6,1,0,0,0,0,0,0,0,0,
USGS,2,0,1,5,8,8,0,0,0,0,0,0,0,1,
Total,2,76,53,178,348,840,105,6,354,14,38,15,0,10,
