Component,1-20 Days,21-40 Days,41-60 Days,61-80 Days,81-100 Days,101-120 Days,121-140 Days,141-160 Days,161-180 Days,181-200 Days,201-300 Days,301-400 Days,400+ Days,Total,
BIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
BLM,1,0,0,0,0,0,0,0,0,0,0,0,0,1,
BOEMRE,1,0,0,0,0,0,1,0,8,3,17,0,0,30,
BOR,2,0,0,0,0,0,0,0,0,0,0,0,0,2,
FWS,3,1,0,0,0,0,0,0,0,0,0,0,0,4,
NPS,1,0,1,0,0,0,0,0,0,0,0,0,0,2,
OIG,2,1,1,0,0,0,1,0,0,0,0,0,0,5,
OS,2,0,0,0,0,0,0,0,0,1,0,0,0,3,
OSM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
SOL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
USGS,2,0,0,0,0,0,0,0,0,0,0,0,0,2,
Total,14,2,2,0,0,0,2,0,8,4,17,0,0,49,
