Component,1-20 Days,21-40 Days,41-60 Days,61-80 Days,81-100 Days,101-120 Days,121-140 Days,141-160 Days,161-180 Days,181-200 Days,201-300 Days,301-400 Days,400+ Days,Total,
BIS,1,8,0,1,0,0,0,0,0,0,0,0,0,10,
Census,136,11,0,1,0,0,0,0,1,0,0,0,0,149,
EDA,0,13,6,1,1,0,0,0,0,0,0,0,0,21,
ESA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ITA,1,8,2,4,1,1,0,1,0,0,2,2,3,25,
MBDA,0,0,0,0,0,2,0,0,0,0,0,0,0,2,
NIST,0,20,11,9,7,3,3,2,1,3,3,1,3,66,
NOAA,0,88,52,22,19,19,16,9,9,10,18,16,8,286,
NTIA,19,3,2,1,0,0,0,2,0,1,1,3,1,33,
NTIS,0,1,2,2,0,0,0,0,0,0,0,0,0,5,
OIG,0,14,4,7,1,1,1,0,0,0,0,0,0,28,
OS,0,26,27,12,13,6,13,12,2,1,17,3,3,135,
PTO,0,24,3,0,0,0,0,0,0,0,0,0,0,27,
Total,157,216,109,60,42,32,33,26,13,15,41,25,18,787,
