Component,1-20 Days,21-40 Days,41-60 Days,61-80 Days,81-100 Days,101-120 Days,121-140 Days,141-160 Days,161-180 Days,181-200 Days,201-300 Days,301-400 Days,400+ Days,Total,
FSIP,13,0,0,0,0,0,0,0,0,0,0,0,0,13,
Authority,24,6,1,1,1,0,0,0,0,0,1,0,0,34,
IG,3,0,0,0,0,0,0,0,0,0,0,0,0,3,
OGC,7,0,0,0,0,0,0,0,0,0,0,0,0,7,
ATRO,7,0,0,0,0,0,0,0,0,0,0,0,0,7,
BORO,6,0,0,0,0,0,0,0,0,0,0,0,0,6,
CHRO,11,2,0,0,0,0,0,0,0,0,0,0,0,13,
DARO,6,1,0,0,0,0,0,0,0,0,0,0,0,7,
DERO,5,0,0,0,0,0,0,0,0,0,0,0,0,5,
SFRO,9,0,0,0,0,0,0,0,0,0,0,0,0,9,
WARO,6,0,0,0,0,0,0,0,0,0,0,0,0,6,
Total,97,9,1,1,1,0,0,0,0,0,1,0,0,110,
