Component,Description,No. of Times Used,Total
AF,United States Department of the Air Force,68,69
AF,United States Department of the Air Force,1,69
ARMY,United States Department of the Army,5,5
ASBCA,Armed Service Board of Contract Appeals,0,0
DCAA,Defense Contract Audit Agency,0,0
DCMA,Defense Contract Management Agency,0,0
DeCA,Defense Commissary Agency,0,0
DFAS,Defense Finance and Accounting Service,0,0
DIA,Defense Intelligence Agency,3,3
DISA,Defense Information Service Agency,0,0
DLA,Defense Logistic Agency,0,0
DoDIG,Department of Defense Inspector General,0,0
DSS,Defense Security Service,0,0
DTRA,Defense Technology and Research Agency,1,1
NAVY,United States Department of the Navy,120,120
NGA,National Geospatial Command,0,0
NRO,National Reconnaissance Office,0,0
NSA,National Security Agency,6,6
OSD/JS,Office of the Secretary of Defense/Joint Staff,7,41
OSD/JS,Office of the Secretary of Defense/Joint Staff,22,41
OSD/JS,Office of the Secretary of Defense/Joint Staff,8,41
OSD/JS,Office of the Secretary of Defense/Joint Staff,3,41
OSD/JS,Office of the Secretary of Defense/Joint Staff,1,41
Total,0,245,478
