Component,Simple,Simple,Simple,Simple,Complex,Complex,Complex,Complex,Expedited,Expedited,Expedited,Expedited
,Median No. of Days,Average No. of Days,Lowest No. of Days,Highest No. of Days,Median No. of Days,Average No. of Days,Lowest No. of Days,Highest No. of Days,Median No. of Days,Average No. of Days,Lowest No. of Days,Highest No. of Days,
BIA,3,2.8,1,6,,,6,810,7,10.8,1,19,
BLM,3,4,0,20,,,0,895,11,8,2,12,
BOR,3,5,1,12,,,1,6,6,6,6,6,
FWS,3,6,12,43,,,79,1016,1,1,1,1,
MMS,1,1,1,1,,,0,333,0,0,0,0,
NPS,13,12,4,18,,,0,733,5,5,5,5,
OIG,20,41.3,6,98,,,3,2648,217,217,217,217,
OS,1,2,0,15,,,0,547,13,13,3,22,
OSM,0,0,0,0,,,0,112,0,0,0,0,
SOL,63,91,2,642,,,,,,,,,
USGS,0,0,0,1,,,0,76,0,0,0,0,
Total,2,5,0,642,0,0,0,2648,6,8,0,217,
