Component,Processing Costs,Litigation-Related Costs,Total Costs,Collected Amount,Collected Percentage,
PS,1882519,5000,1887519,22724,1.21%,
OIG,366080,0,366080,0,0.0%,
PIS,357490,0,357490,363,0.1%,
Total,2606089,5000,2611089,23087,N/A,
