Component,1-20 Days,21-40 Days,41-60 Days,61-80 Days,81-100 Days,101-120 Days,121-140 Days,141-160 Days,161-180 Days,181-200 Days,201-300 Days,301-400 Days,400+ Days,Total,
HQ,256,383,159,89,64,46,33,40,24,30,81,55,112,1372,
Region 1,3,33,7,2,1,1,0,1,0,0,0,0,2,50,
Region 2,1,607,454,281,36,13,7,4,3,4,6,8,7,1431,
Region 3,1,179,136,138,90,111,66,43,67,44,110,6,0,991,
Region 4,4,366,77,23,9,9,7,3,6,3,11,0,0,518,
Region 5,8,274,38,15,8,4,5,3,0,2,4,1,5,367,
Region 6,247,282,74,18,14,5,1,7,5,4,10,2,5,674,
Region 7,54,148,12,8,4,4,0,0,1,0,0,0,1,232,
Region 8,11,52,7,2,1,1,1,3,0,1,4,4,7,94,
Region 9,4,194,25,6,2,1,2,0,0,1,2,1,1,239,
Region 10,10,105,66,22,20,10,6,6,6,0,9,4,17,281,
Total,599,2623,1055,604,249,205,128,110,112,89,237,81,157,6249,
