Component,1-20 Days,21-40 Days,41-60 Days,61-80 Days,81-100 Days,101-120 Days,121-140 Days,141-160 Days,161-180 Days,181-200 Days,201-300 Days,301-400 Days,400+ Days,Total,
DoS,12,227,1616,1819,2009,545,186,353,426,275,546,75,193,8282,
OIG,59,19,4,4,2,0,1,0,0,0,0,0,0,89,
Total,71,246,1620,1823,2011,545,187,353,426,275,546,75,193,8371,
