Component,,10th,9th,8th,7th,6th,5th,4th,3rd,2nd,Oldest Request
CIA,Date of Receipt,2006-11-03,2006-09-13,2006-09-08,2006-08-25,2006-08-10,2006-06-08,2006-02-13,2005-02-11,2004-06-03,2003-11-24
CIA,Number of Days Pending,1793,1844,1849,1863,1878,1941,2056,2423,2676,2868
