Component,1-20 Days,21-40 Days,41-60 Days,61-80 Days,81-100 Days,101-120 Days,121-140 Days,141-160 Days,161-180 Days,181-200 Days,201-300 Days,301-400 Days,400+ Days,Total,
AF,537,700,356,160,96,84,60,66,65,47,107,51,81,2410,
AFRICOM,0,2,5,3,4,2,0,0,1,1,1,0,1,20,
ARMY,5469,1971,804,448,297,202,125,81,68,38,167,99,201,9970,
ASBCA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
CENTCOM,67,38,27,30,28,20,15,11,4,1,23,12,28,304,
DCAA,7,0,1,0,0,0,0,0,0,0,0,0,0,8,
DCMA,1,4,4,4,4,5,1,4,0,1,6,2,2,38,
DeCA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
DFAS,8,10,1,0,2,0,0,0,0,0,0,0,0,21,
DIA,0,72,40,36,21,22,23,15,12,11,90,74,483,899,
DISA,118,23,0,0,0,0,0,0,0,0,0,0,0,141,
DLA,323,79,37,21,6,4,4,4,0,0,2,0,0,480,
DoD IG,17,59,23,20,10,9,6,6,1,7,15,9,19,201,
DoDEA,0,0,1,0,0,0,0,0,0,0,0,0,0,1,
DSS,0,4,0,0,0,0,0,0,0,0,0,0,0,4,
DTIC,0,7,0,0,1,1,0,0,0,0,0,0,0,9,
DTRA,24,20,9,4,2,8,1,1,3,0,3,1,0,76,
EUCOM,1,0,4,0,0,0,1,0,0,1,3,1,4,15,
NAVY,378,1737,605,330,223,168,109,92,79,39,166,84,178,4188,
NGA,6,11,3,4,6,7,11,3,4,4,26,14,47,146,
NGB,19,10,9,8,3,5,3,7,1,3,2,1,0,71,
NORTHCOM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
NRO,0,5,11,16,5,7,7,2,2,0,4,6,13,78,
NSA,0,0,0,0,0,0,0,2,0,1,3,3,27,36,
OSD/JS,149,127,69,63,49,32,17,18,16,21,74,44,237,916,
PACOM,3,3,13,3,3,8,0,1,1,0,2,4,2,43,
SOCOM,7,15,11,5,7,25,17,1,7,0,6,8,34,143,
SOUTHCOM,0,2,6,3,4,8,5,2,8,6,11,9,9,73,
STRATCOM,2,2,2,3,0,0,0,0,1,0,0,0,0,10,
TRANSCOM,0,13,7,7,3,5,6,1,1,0,1,3,2,49,
TRICARE,6,10,7,2,2,1,1,0,1,0,2,0,0,32,
Total,7142,4924,2055,1170,776,623,412,317,275,181,714,425,1368,20382,
