Component,Processing Costs,Litigation-Related Costs,Total Costs,Collected Amount,Collected Percentage,
ARC,87429,0,87429,0,0.0%,
DFRC,6367.05,0,6367.05,0,0.0%,
GRC,97016.5,0,97016.5,753.6,0.78%,
GSFC,180897.15,0,180897.15,0,0.0%,
HQ,341554.59,0,341554.59,0,0.0%,
JPL,114362.5,0,114362.5,2648,2.32%,
JSC,181948.9,0,181948.9,2000,1.1%,
KSC,156430.55,0,156430.55,2603.9,1.66%,
LaRC,66492.54,0,66492.54,0,0.0%,
MSFC,116824.3,0,116824.3,856.05,0.73%,
NSSC,28852.35,0,28852.35,0,0.0%,
OGC,822316,0,822316,0,0.0%,
OIG,41294,0,41294,0,0.0%,
SSC,45217.45,0,45217.45,0,0.0%,
Total,2287003,0,2287003,8862,N/A,
