Component,1-20 Days,21-40 Days,41-60 Days,61-80 Days,81-100 Days,101-120 Days,121-140 Days,141-160 Days,161-180 Days,181-200 Days,201-300 Days,301-400 Days,400+ Days,Total,
AMS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
APHIS,1,4,6,7,6,8,7,7,8,17,20,23,78,192,
ASCR,0,0,0,1,0,0,0,0,0,0,0,0,0,1,
DM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
FAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
FNCS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
FS,1,155,159,70,26,28,15,5,2,0,0,2,1,464,
FSA,258,53,15,9,1,3,1,1,0,0,2,5,0,348,
FSIS,76,17,18,8,9,4,6,3,5,8,14,5,21,194,
GIPSA,0,0,2,1,2,1,1,0,0,0,0,0,0,7,
NAD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
NRCS,3,1,0,0,0,0,0,0,0,0,0,0,0,4,
OBPA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
OCFO,1,0,0,0,0,0,0,0,0,0,0,0,0,1,
OGC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
OIG,0,0,10,3,4,7,2,4,2,2,9,0,2,45,
OSEC,1,3,5,0,0,0,0,0,0,0,0,0,0,9,
RD,3,1,1,0,0,0,2,0,0,2,2,0,0,11,
REE,98,14,0,0,0,0,0,0,0,0,0,0,0,112,
RMA,5,21,4,0,1,0,0,0,0,0,0,0,0,31,
Total,447,269,220,99,49,51,34,20,17,29,47,35,102,1419,
