Component,Description,No. of Times Used,Total
ATLANTA,Convert Section 83,60,78
ATLANTA,Other Files Lost,10,78
ATLANTA,Other Files Destroy,8,78
BIRMINGHAM,Convert Section 83,0,29
BIRMINGHAM,Other Files Lost,23,29
BIRMINGHAM,Other Files Destroy,6,29
CHARLOTTE,Other Files Lost,50,50
CHARLOTTE,Other Files Destroy,0,50
CHARLOTTE,Convert Section 83,0,50
CHICAGO,Other Files Lost,64,136
CHICAGO,Convert Section 83,0,136
CHICAGO,Other Files Destroy,72,136
DALLAS,Convert Section 83,45,181
DALLAS,Other Files Destroy,42,181
DALLAS,Other Files Lost,94,181
HOUSTON,Other Files Lost,43,63
HOUSTON,Convert Section 83,0,63
HOUSTON,Other Files Destroy,20,63
INDIANAPOLIS,Other Files Lost,122,240
INDIANAPOLIS,Other Files Destroy,117,240
INDIANAPOLIS,Convert Section 83,1,240
LOS ANGELES,Other Files Destroy,43,82
LOS ANGELES,Convert Section 83,0,82
LOS ANGELES,Other Files Lost,39,82
MEMPHIS,Other Files Destroy,6,16
MEMPHIS,Other Files Lost,10,16
MEMPHIS,Convert Section 83,0,16
MIAMI,Convert Section 83,9,335
MIAMI,Other Files Lost,298,335
MIAMI,Other Files Destroy,28,335
NEW YORK,Convert Section 83,0,100
NEW YORK,Other Files Lost,51,100
NEW YORK,Other Files Destroy,49,100
OLC/HDQ,Other Files Lost,1,60
OLC/HDQ,Other Files Destroy,59,60
OLC/HDQ,Convert Section 83,0,60
PHILADELPHIA,Other Files Destroy,43,111
PHILADELPHIA,Other Files Lost,67,111
PHILADELPHIA,Convert Section 83,1,111
PHOENIX,Other Files Lost,34,36
PHOENIX,Convert Section 83,0,36
PHOENIX,Other Files Destroy,2,36
SAN FRANCISCO,Convert Section 83,0,36
SAN FRANCISCO,Other Files Destroy,7,36
SAN FRANCISCO,Other Files Lost,29,36
ST. LOUIS,Convert Section 83,0,45
ST. LOUIS,Other Files Destroy,3,45
ST. LOUIS,Other Files Lost,42,45
WFO,Convert Section 83,3,18
WFO,Other Files Lost,15,18
WFO,Other Files Destroy,0,18
Total,0,1616,4848
