Component,,10th,9th,8th,7th,6th,5th,4th,3rd,2nd,Oldest Request
CIA,Date of Receipt,2010-10-19,2010-03-18,2009-12-10,2008-04-04,2008-04-04,2008-04-04,2008-04-04,2007-05-21,2007-05-21,2007-05-21
CIA,Number of Days Pending,1808,2023,2121,2736,2736,2736,2736,3055,3055,3055
