Component,,10th,9th,8th,7th,6th,5th,4th,3rd,2nd,Oldest Appeal
USNRC,Date of Receipt,,,,,,,,2014-09-03,2014-06-24,2013-07-26
USNRC,Number of Days Pending,,,,,,,,19,68,290
