Statute,Type of Information Withheld,Case Citation,Number of Times Relied upon per Component,Number of Times Relied upon per Component,Total Number of Times Relied upon by Agency
Archaeological Resources Protection Act (16 U.S.C. § 470hh(a)),Descriptions and/or locations of archaeological resources.Information describing historical and cultural resources and/or their specific locations.Narrative descriptions of objects and their locations.,"Starkey v. U.S. Department of the Interior, 238 F. Supp. 2d 1188 (S.D. Cal. 2002)",24,BLM,33
Archaeological Resources Protection Act (16 U.S.C. § 470hh(a)),Descriptions and/or locations of archaeological resources.Information describing historical and cultural resources and/or their specific locations.Narrative descriptions of objects and their locations.,"Starkey v. U.S. Department of the Interior, 238 F. Supp. 2d 1188 (S.D. Cal. 2002)",1,BOEMRE,33
Archaeological Resources Protection Act (16 U.S.C. § 470hh(a)),Descriptions and/or locations of archaeological resources.Information describing historical and cultural resources and/or their specific locations.Narrative descriptions of objects and their locations.,"Starkey v. U.S. Department of the Interior, 238 F. Supp. 2d 1188 (S.D. Cal. 2002)",0,BOR,33
Archaeological Resources Protection Act (16 U.S.C. § 470hh(a)),Descriptions and/or locations of archaeological resources.Information describing historical and cultural resources and/or their specific locations.Narrative descriptions of objects and their locations.,"Starkey v. U.S. Department of the Interior, 238 F. Supp. 2d 1188 (S.D. Cal. 2002)",2,FWS,33
Archaeological Resources Protection Act (16 U.S.C. § 470hh(a)),Descriptions and/or locations of archaeological resources.Information describing historical and cultural resources and/or their specific locations.Narrative descriptions of objects and their locations.,"Starkey v. U.S. Department of the Interior, 238 F. Supp. 2d 1188 (S.D. Cal. 2002)",3,NPS,33
Archaeological Resources Protection Act (16 U.S.C. § 470hh(a)),Descriptions and/or locations of archaeological resources.Information describing historical and cultural resources and/or their specific locations.Narrative descriptions of objects and their locations.,"Starkey v. U.S. Department of the Interior, 238 F. Supp. 2d 1188 (S.D. Cal. 2002)",0,OIG,33
Archaeological Resources Protection Act (16 U.S.C. § 470hh(a)),Descriptions and/or locations of archaeological resources.Information describing historical and cultural resources and/or their specific locations.Narrative descriptions of objects and their locations.,"Starkey v. U.S. Department of the Interior, 238 F. Supp. 2d 1188 (S.D. Cal. 2002)",0,OS,33
Archaeological Resources Protection Act (16 U.S.C. § 470hh(a)),Descriptions and/or locations of archaeological resources.Information describing historical and cultural resources and/or their specific locations.Narrative descriptions of objects and their locations.,"Starkey v. U.S. Department of the Interior, 238 F. Supp. 2d 1188 (S.D. Cal. 2002)",0,OSM,33
Archaeological Resources Protection Act (16 U.S.C. § 470hh(a)),Descriptions and/or locations of archaeological resources.Information describing historical and cultural resources and/or their specific locations.Narrative descriptions of objects and their locations.,"Starkey v. U.S. Department of the Interior, 238 F. Supp. 2d 1188 (S.D. Cal. 2002)",0,SOL,33
Archaeological Resources Protection Act (16 U.S.C. § 470hh(a)),Descriptions and/or locations of archaeological resources.Information describing historical and cultural resources and/or their specific locations.Narrative descriptions of objects and their locations.,"Starkey v. U.S. Department of the Interior, 238 F. Supp. 2d 1188 (S.D. Cal. 2002)",0,USGS,33
National Historic Preservation Act Amendments (16 U.S.C. § 470w-3),"Information concerning the location, character or ownership of  historic resources.",None,0,BIA,9
National Historic Preservation Act Amendments (16 U.S.C. § 470w-3),"Information concerning the location, character or ownership of  historic resources.",None,8,BLM,9
National Historic Preservation Act Amendments (16 U.S.C. § 470w-3),"Information concerning the location, character or ownership of  historic resources.",None,0,BOEMRE,9
National Historic Preservation Act Amendments (16 U.S.C. § 470w-3),"Information concerning the location, character or ownership of  historic resources.",None,0,BOR,9
National Historic Preservation Act Amendments (16 U.S.C. § 470w-3),"Information concerning the location, character or ownership of  historic resources.",None,0,FWS,9
National Historic Preservation Act Amendments (16 U.S.C. § 470w-3),"Information concerning the location, character or ownership of  historic resources.",None,1,NPS,9
National Historic Preservation Act Amendments (16 U.S.C. § 470w-3),"Information concerning the location, character or ownership of  historic resources.",None,0,OIG,9
National Historic Preservation Act Amendments (16 U.S.C. § 470w-3),"Information concerning the location, character or ownership of  historic resources.",None,0,OS,9
National Historic Preservation Act Amendments (16 U.S.C. § 470w-3),"Information concerning the location, character or ownership of  historic resources.",None,0,OSM,9
National Historic Preservation Act Amendments (16 U.S.C. § 470w-3),"Information concerning the location, character or ownership of  historic resources.",None,0,SOL,9
National Historic Preservation Act Amendments (16 U.S.C. § 470w-3),"Information concerning the location, character or ownership of  historic resources.",None,0,USGS,9
Outer Continental Shelf Lands Act (43 U.S.C. § 1350-1352),Conservation information documents.,None,0,BIA,1
Outer Continental Shelf Lands Act (43 U.S.C. § 1350-1352),Conservation information documents.,None,0,BLM,1
Outer Continental Shelf Lands Act (43 U.S.C. § 1350-1352),Conservation information documents.,None,1,BOEMRE,1
Outer Continental Shelf Lands Act (43 U.S.C. § 1350-1352),Conservation information documents.,None,0,BOR,1
Outer Continental Shelf Lands Act (43 U.S.C. § 1350-1352),Conservation information documents.,None,0,FWS,1
Outer Continental Shelf Lands Act (43 U.S.C. § 1350-1352),Conservation information documents.,None,0,NPS,1
Outer Continental Shelf Lands Act (43 U.S.C. § 1350-1352),Conservation information documents.,None,0,OIG,1
Outer Continental Shelf Lands Act (43 U.S.C. § 1350-1352),Conservation information documents.,None,0,OS,1
Outer Continental Shelf Lands Act (43 U.S.C. § 1350-1352),Conservation information documents.,None,0,OSM,1
Outer Continental Shelf Lands Act (43 U.S.C. § 1350-1352),Conservation information documents.,None,0,SOL,1
Outer Continental Shelf Lands Act (43 U.S.C. § 1350-1352),Conservation information documents.,None,0,USGS,1
Right to Financial Privacy Act of 1978 (12 U.S.C. 3413(h)(4)),Information related to individual applicants for loan guarantees.,None,1,BIA,1
Right to Financial Privacy Act of 1978 (12 U.S.C. 3413(h)(4)),Information related to individual applicants for loan guarantees.,None,0,BLM,1
Right to Financial Privacy Act of 1978 (12 U.S.C. 3413(h)(4)),Information related to individual applicants for loan guarantees.,None,0,BOEMRE,1
Right to Financial Privacy Act of 1978 (12 U.S.C. 3413(h)(4)),Information related to individual applicants for loan guarantees.,None,0,BOR,1
Right to Financial Privacy Act of 1978 (12 U.S.C. 3413(h)(4)),Information related to individual applicants for loan guarantees.,None,0,FWS,1
Right to Financial Privacy Act of 1978 (12 U.S.C. 3413(h)(4)),Information related to individual applicants for loan guarantees.,None,0,NPS,1
Right to Financial Privacy Act of 1978 (12 U.S.C. 3413(h)(4)),Information related to individual applicants for loan guarantees.,None,0,OIG,1
Right to Financial Privacy Act of 1978 (12 U.S.C. 3413(h)(4)),Information related to individual applicants for loan guarantees.,None,0,OS,1
Right to Financial Privacy Act of 1978 (12 U.S.C. 3413(h)(4)),Information related to individual applicants for loan guarantees.,None,0,OSM,1
Right to Financial Privacy Act of 1978 (12 U.S.C. 3413(h)(4)),Information related to individual applicants for loan guarantees.,None,0,SOL,1
Right to Financial Privacy Act of 1978 (12 U.S.C. 3413(h)(4)),Information related to individual applicants for loan guarantees.,None,0,USGS,1
"Rule 6(e), Federal Rules of Criminal Procedure (Grand Jury) (18 U.S.C. § 385)","Information that would reveal identities of witnesses or jurors; testimony, strategy or direction of investigations; or juror deliberations/questions.","McQueen v. United States, 179 F.R.D. 522, 528-30 (S.D. Tex. May 6, 1998)",0,BIA,6
"Rule 6(e), Federal Rules of Criminal Procedure (Grand Jury) (18 U.S.C. § 385)","Information that would reveal identities of witnesses or jurors; testimony, strategy or direction of investigations; or juror deliberations/questions.","McQueen v. United States, 179 F.R.D. 522, 528-30 (S.D. Tex. May 6, 1998)",0,BLM,6
"Rule 6(e), Federal Rules of Criminal Procedure (Grand Jury) (18 U.S.C. § 385)","Information that would reveal identities of witnesses or jurors; testimony, strategy or direction of investigations; or juror deliberations/questions.","McQueen v. United States, 179 F.R.D. 522, 528-30 (S.D. Tex. May 6, 1998)",0,BOEMRE,6
"Rule 6(e), Federal Rules of Criminal Procedure (Grand Jury) (18 U.S.C. § 385)","Information that would reveal identities of witnesses or jurors; testimony, strategy or direction of investigations; or juror deliberations/questions.","McQueen v. United States, 179 F.R.D. 522, 528-30 (S.D. Tex. May 6, 1998)",0,BOR,6
