Statute,Type of Information Withheld,Case Citation,Number of Times Relied upon per Component,Number of Times Relied upon per Component,Total Number of Times Relied upon by Agency
15 U.S.C. § 80b-10(b),Investment Advisors examinations or investigations,,1,HQ,1
15 U.S.C.§ 78q(h)(5),"Associated persons of broker-dealers, government securities brokers or dealers, or municipal securities dealers.",,1,HQ,1
41 U.S.C. § 423(d),Proprietary or source selecting information about ongoing Federal Procurements,,1,HQ,1
15 U.S.C. § 80a-30©,Investment Company Examination,,1,HQ,1
15 U.S.C. § 78x(d),(Foreign Securities Authorities),,1,HQ,1
41 U.S.C. § 253(b)(m),Contractor proposals,,2,HQ,2
42 U.S.C. § 247d-6b(d),Bioterrorism preparedness stockpiles,,4,HQ,4
