Component,1-20 Days,21-40 Days,41-60 Days,61-80 Days,81-100 Days,101-120 Days,121-140 Days,141-160 Days,161-180 Days,181-200 Days,201-300 Days,301-400 Days,400+ Days,Total,
BIS,0,0,0,0,0,0,0,0,0,0,1,0,0,1,
Census,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
EDA,6,16,2,2,0,0,0,0,0,0,0,0,0,26,
ESA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ITA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
MBDA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
NIST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
NOAA,0,137,64,29,14,11,8,4,4,5,9,6,2,293,
NTIA,31,9,0,0,0,0,0,0,0,0,0,0,0,40,
NTIS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
OIG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
OS,0,0,4,5,4,2,6,5,0,0,3,1,2,32,
PTO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Total,37,162,70,36,18,13,14,9,4,5,13,7,4,392,
