Component,,10th,9th,8th,7th,6th,5th,4th,3rd,2nd,Oldest Appeal
AF,Date of Receipt,2013-02-13,2013-02-12,2012-12-10,2012-12-06,2012-09-18,2012-04-23,2012-03-14,2012-01-20,2011-10-04,2011-04-29
AF,Number of Days Pending,410,411,453,455,509,612,640,677,750,859
ARMY,Date of Receipt,2014-07-24,2014-07-24,2014-07-21,2014-07-11,2014-07-03,2014-05-27,2014-05-12,2014-04-07,2014-03-10,2013-11-13
ARMY,Number of Days Pending,47,47,50,56,61,88,98,123,143,221
DCMA,Date of Receipt,,,,,,,,2014-09-26,2014-09-25,2014-09-04
DCMA,Number of Days Pending,,,,,,,,0,0,0
DHA,Date of Receipt,2014-09-15,2014-09-01,2014-05-30,2014-05-28,2014-05-19,2014-05-19,2014-05-19,2014-05-19,2014-05-06,2014-05-06
DHA,Number of Days Pending,11,20,85,87,93,93,93,93,102,102
DIA,Date of Receipt,2010-03-16,2010-02-12,2009-08-29,2009-07-17,2008-12-02,2008-09-18,2008-05-13,2008-01-29,2008-01-15,2007-11-08
DIA,Number of Days Pending,1142,1163,1275,1306,1462,1513,1602,1676,1685,1728
DoD IG,Date of Receipt,2012-06-22,2012-02-02,2012-01-24,2012-01-17,2011-11-10,2011-02-09,2011-01-28,2010-09-03,2010-07-01,2007-11-05
DoD IG,Number of Days Pending,569,668,675,680,724,915,923,1021,1066,1731
DTRA,Date of Receipt,,,,,,,,,2014-09-12,2014-07-28
DTRA,Number of Days Pending,,,,,,,,,12,45
NAVY,Date of Receipt,2014-08-28,2014-08-20,2014-07-31,2014-07-24,2014-07-02,2014-06-25,2014-05-30,2014-05-09,2014-04-14,2014-03-28
NAVY,Number of Days Pending,22,28,42,47,62,67,85,99,118,129
NGA,Date of Receipt,2013-01-24,2013-01-24,2012-11-30,2012-11-01,2012-11-01,2012-10-31,2012-10-15,2012-09-14,2012-09-12,2012-09-12
NGA,Number of Days Pending,424,424,459,478,478,479,491,511,513,513
NRO,Date of Receipt,,,,,,2014-06-19,2014-05-01,2014-03-05,2013-06-25,2013-06-17
NRO,Number of Days Pending,,,,,,71,105,146,320,326
NSA,Date of Receipt,2012-05-18,2012-05-01,2012-03-08,2012-01-24,2011-05-10,2010-11-16,2010-11-01,2010-09-02,2010-08-25,2010-08-25
NSA,Number of Days Pending,593,606,644,675,852,972,982,1022,1028,1028
OSD/JS,Date of Receipt,2004-07-13,2004-06-28,2004-04-08,2003-09-12,2003-08-29,2003-08-14,2003-08-07,2003-08-07,2003-08-05,2003-06-17
OSD/JS,Number of Days Pending,2562,2572,2627,2768,2777,2788,2793,2793,2795,2829
