Statute,Type of Information Withheld,Case Citation,Number of Times Relied upon per Component,Number of Times Relied upon per Component,Total Number of Times Relied upon by Agency
50 U.S.C. app. § 2411(c)(Export Administration Act of 1979),Information pertaining to license applications under the Export Administration Act,"Wis. Project on Nuclear Arms Control v. U.S. Dep't of Commerce, 317 F.3d 275, 284 (D.C. Cir. 2003); Times Publ'g Co. v. U.S. Dep't of Commerce, 236 F.3d 1286, 1292 (11th Cir. 2001); Lessner v. U.S. Dep't of Commerce, 827 F.2d 1333, 1336-37 (9th Cir. 1987).",2,OS,2
35 U.S.C. § 122 (Patent Act),Applications for patents; certain information pertaining to applications for patents,"Irons & Sears v Dann, 606 F.2d 1215, 1219-21 (D.C. Cir 1979)",1,OS,9
35 U.S.C. § 122 (Patent Act),Applications for patents; certain information pertaining to applications for patents,"Irons & Sears v Dann, 606 F.2d 1215, 1219-21 (D.C. Cir 1979)",8,PTO,9
13 U.S.C. §§ 9 (Census Act),Certain Census data,"Baldrige v Shapiro, 455 U.S., 345, 355 (1982)",25,Census,25
13 U.S.C. § 301(g) (Collection and Publication of Foreign Commerce Act),Shippers' export declarations or successor documents,"Afr. Fund v. Mosbacher, No. 92 Civ. 289, 1993 WL 183736, at *5 (S.D.N.Y. May 26, 1993); Young Conservative Found., Inc. v U.S. Dep't of Commerce, No. 85-3982, 1987 WL 9244, at *2-3 (D.D.C. Mar. 25 1987).",2,OS,32
13 U.S.C. § 301(g) (Collection and Publication of Foreign Commerce Act),Shippers' export declarations or successor documents,"Afr. Fund v. Mosbacher, No. 92 Civ. 289, 1993 WL 183736, at *5 (S.D.N.Y. May 26, 1993); Young Conservative Found., Inc. v U.S. Dep't of Commerce, No. 85-3982, 1987 WL 9244, at *2-3 (D.D.C. Mar. 25 1987).",30,Census,32
41 U.S.C. § 253b(m)(1) (currently at 41 U.S.C. § 4702),Contractor proposals that are in the possession or control of an executive agency and that have not been set forth or incorporated by reference into contracts,"Sinkfield v. HUD. No. 10-885, 2012 U.S. Dist. LEXIS 35233, at *13-15 (S.D. Ohio Mar. 15, 2012); Margolin v. NASA. No. 09-CV-00421, 2011 WL 1303221, at *6 (D. Nev. Mar. 31, 2011); Hornbostel v. U.S. Dep't of the Interior. 305F. Supp. 2d 21, 30 (D.D.C. 2003), summary affirmance granted. No. 03-5257, 2004 WL 1900562 (D.C. Cir. Aug. 25, 2004).",3,NOAA,12
41 U.S.C. § 253b(m)(1) (currently at 41 U.S.C. § 4702),Contractor proposals that are in the possession or control of an executive agency and that have not been set forth or incorporated by reference into contracts,"Sinkfield v. HUD. No. 10-885, 2012 U.S. Dist. LEXIS 35233, at *13-15 (S.D. Ohio Mar. 15, 2012); Margolin v. NASA. No. 09-CV-00421, 2011 WL 1303221, at *6 (D. Nev. Mar. 31, 2011); Hornbostel v. U.S. Dep't of the Interior. 305F. Supp. 2d 21, 30 (D.D.C. 2003), summary affirmance granted. No. 03-5257, 2004 WL 1900562 (D.C. Cir. Aug. 25, 2004).",9,PTO,12
16 U.S.C. § 1881 (a)(2)  (Registration and Information Management),Statistical information contained in fishery management plans.,N/A,7,NOAA,7
"15 U.S.C. § 7301 (c), (d) (National Construction Safety Teams)",Information received in the course of investigations regarding building failures,N/A,1,NIST,1
10 U.S.C. § 130(b),"Personally identifiable information pertaining to members of the armed forces assigned to ""routinely deployable unit(s)"" and certain employees of DOD and DHS","Hall v. CIA, No. 04-00814, 2012 WL 3143839, at *16 (D.D.C. Aug. 3, 2012); Hiken v. DOD. 521 F. Supp. 2d 1047, 1062 (N.D. Cal. 2007); (O'Keefe v. DOC. 463 F. Supp. 2d 317, 325 (E.D.N.Y. 2006); Windel v. United States. No. A02-306, 2005 WL 846206, at *(D. Alaska Apr. 11, 2005)",1,NOAA,1
"Fed. R. Crim. P. 6(e), enacted by Act of July 30, 1977, Pub. L. No. 95-78, 91 Stat. 319",Certain records pertaining to grand jury proceedings.,"Sussman v. USMS, 494 F. 3d 1106, 1113 (D.C. Cir. 207); Fund for Constitutional Gov't v. Nat'l Archives & Records Serv., 656 F. 2d 856, 867-68 (D.C. Cir 1981); Durham v. U.S. Atty Gen., No. 06-843m 2008 WI. 620744, at *2 (E.D. Tex. Mar. 3, 2008); Cozen O'Connor v. U.S. Dep't of Treasury, 570 F. supp. 2d 749, 776 (E.D. Pa. 2008)",1,OIG,1
50 U.S.C. App § 2170 (Defense Production Act),Protects offsets information.,N/A,1,BIS,1
