Component,Number Affirmed on Appeal,Number Partially Affirmed & Partially Reserved/Remanded on Appeal,Number Completely Reserved/Remanded on Appeal,Number of Appeals Closed for Other Reasons,Total,
CIA,170,17,4,21,212,
Total,170,17,4,21,212,
