Component,Simple,Simple,Simple,Complex,Complex,Complex,Expedited,Expedited,Expedited
,Number Pending,Median No. of Days,Average No. of Days,Number Pending,Median No. of Days,Average No. of Days,Number Pending,Median No. of Days,Average No. of Days,
ARC,7,2,18.43,1,302,302,0,0,0,
DFRC,0,0,0,0,0,0,0,0,0,
GRC,1,10,10,2,238.5,238.5,0,0,0,
GSFC,3,14,28.33,23,50,83.7,0,0,0,
HQ,13,57,181.38,72,101.5,177.21,1,89,89,
JPL,0,0,0,0,0,0,0,0,0,
JSC,0,0,0,24,17,30.62,0,0,0,
KSC,3,1,5,7,41,71.43,0,0,0,
LaRC,0,0,0,10,162.5,266.7,0,0,0,
MSFC,5,10,12.2,2,45,45,0,0,0,
NSSC,1,18,18,1,60,60,0,0,0,
OGC,2,214.5,214.5,0,0,0,0,0,0,
OIG,1,14,14,0,0,0,0,0,0,
SSC,0,0,0,2,138.5,138.5,0,0,0,
Total,36,33,87,144,67,137,1,89,89,
