Component,Description,No. of Times Used,Total
FOIA/PA Appeals,FOIA/Privacy Act Appeals Office,8,19
FOIA/PA Appeals,FOIA/Privacy Act Appeals Office,2,19
FOIA/PA Appeals,FOIA/Privacy Act Appeals Office,2,19
FOIA/PA Appeals,FOIA/Privacy Act Appeals Office,2,19
FOIA/PA Appeals,FOIA/Privacy Act Appeals Office,1,19
FOIA/PA Appeals,FOIA/Privacy Act Appeals Office,3,19
FOIA/PA Appeals,FOIA/Privacy Act Appeals Office,1,19
Total,0,19,133
