Statute,Type of Information Withheld,Case Citation,Number of Times Relied upon per Component,Number of Times Relied upon per Component,Total Number of Times Relied upon by Agency
41 U.S.C. Section 253 b(m)(1),Business proposal documents not incorporated in contracts.,"Hornbostel v. DOI, 305 F. Supp. 2d 21, 30 (D.D.C. 2003) summary affirmance granted, No. 03-5257, 2004 WL 1900562 (D.C.C. Aug. 25, 2004)",3,FSA,3
5 U.S.C. 574 (Alternative Dispute Resolution Act),Communications relating to proceedings.,n/a,2,OCR,2
