Component,Description,No. of Times Used,Total
AF,Unable to contact requester,212,352
AF,Litigation,5,352
AF,Misdirected Request,135,352
ASBCA,N/A,0,0
ARMY,Misdirected Request,195,301
ARMY,Litigation,23,301
ARMY,Unable to contact requester,83,301
CENTCOM,Unable to contact requester,1,33
CENTCOM,Misdirected Request,32,33
DCAA,N/A,0,0
DCMA,Unable to contact requester,1,1
DeCA,N/A,0,0
DIA,Unable to contact requester,1,8
DIA,Misdirected Request,7,8
DISA,Litigation,1,8
DISA,Misdirected Request,7,8
DLA,Misdirected Request,114,114
DoDEA,N/A,0,0
DSS,N/A,0,0
DTIC,N/A,0,0
DTRA,N/A,0,0
EUCOM,N/A,0,0
NAVY,Unable to contact requester,119,216
NAVY,Litigation,1,216
NAVY,Misdirected Request,96,216
NGA,Unable to contact requester,8,8
NORTHCOM,N/A,0,0
NRO,N/A,0,0
NSA,Unable to contact requester,2,7
NSA,Misdirected Request,5,7
OSD/JS,Litigation,11,336
OSD/JS,Unable to contact requester,7,336
OSD/JS,Misdirected Request,318,336
PACOM,Unable to contact requester,7,7
SOCOM,Litigation,1,66
SOCOM,Unable to contact requester,10,66
SOCOM,Misdirected Request,55,66
SOUTHCOM,Misdirected Request,4,4
STRATCOM,N/A,0,0
TRANSCOM,Unable to contact requester,11,11
AFRICOM,Misdirected Request,6,8
AFRICOM,Request in Litigation,2,8
NGB,Unable to contact requester,1,3
NGB,Misdirected Request,2,3
DoD IG,Unable to contact requester,55,125
DoD IG,Misdirected Request,70,125
JPRA,Misdirected Request,1,3
JPRA,Litigation,2,3
DHA,N/A,0,0
Total,0,1611,4348
