Component,Processing Costs,Litigation-Related Costs,Total Costs,Collected Amount,Collected Percentage,
OIG,2000,0,2000,0,0.0%,
RRB,46350,0,46350,270,0.58%,
Total,48350,0,48350,270,N/A,
