Component,1-20 Days,21-40 Days,41-60 Days,61-80 Days,81-100 Days,101-120 Days,121-140 Days,141-160 Days,161-180 Days,181-200 Days,201-300 Days,301-400 Days,400+ Days,Total,
BIA,314,2,0,0,0,0,0,0,0,0,0,0,0,316,
BLM,37,0,0,0,0,0,0,0,0,0,0,0,0,37,
BOEM,6,0,0,0,0,0,0,0,0,0,0,0,0,6,
BOR,13,0,0,0,0,0,0,0,0,0,0,0,0,13,
BSEE,8,0,0,0,0,0,0,0,0,0,0,0,0,8,
FWS,47,0,1,0,0,0,0,0,0,0,0,0,0,48,
NPS,6,2,0,0,0,0,0,0,0,0,0,0,0,8,
OIG,8,2,0,0,0,1,0,0,0,0,0,0,0,11,
OS,1,0,0,0,0,0,0,0,0,0,0,0,0,1,
OSM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
SOL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
USGS,2,0,0,0,0,0,0,0,0,0,0,0,0,2,
Total,442,6,1,0,0,1,0,0,0,0,0,0,0,450,
