Component,Processing Costs,Litigation-Related Costs,Total Costs,Collected Amount,Collected Percentage,
BIS,86564,0,86564,0,0.0%,
Census,490251.22,0,490251.22,691.8,0.14%,
EDA,131633,0,131633,913.12,0.69%,
ESA,21000,0,21000,0,0.0%,
ITA,48439,0,48439,9380.22,19.37%,
MBDA,1310,0,1310,0,0.0%,
NIST,302142,0,302142,1448,0.48%,
NOAA,12348717.32,0,12348717.32,25004.64,0.2%,
NTIA,245448,0,245448,3165,1.29%,
NTIS,15500,0,15500,0,0.0%,
OIG,256233.5,152.44,256385.94,711.27,0.28%,
OS,511432.32,0,511432.32,0,0.0%,
PTO,359508,0,359508,2880.59,0.8%,
AGC/Admin,401260.88,157173.6,558434.48,0,0.0%,
Total,15219439,157326,15376765,44195,N/A,
