Component,1-20 Days,21-40 Days,41-60 Days,61-80 Days,81-100 Days,101-120 Days,121-140 Days,141-160 Days,161-180 Days,181-200 Days,201-300 Days,301-400 Days,400+ Days,Total,
SEC,9747,1115,337,138,89,44,18,14,12,10,8,3,1,11536,
Total,9747,1115,337,138,89,44,18,14,12,10,8,3,1,11536,
