Component,,10th,9th,8th,7th,6th,5th,4th,3rd,2nd,Oldest Appeal
FCC,Date of Receipt,2011-09-07,2011-08-12,2011-05-06,2011-04-27,2011-03-09,2011-02-04,2011-01-28,2010-11-23,2010-08-19,2009-06-18
FCC,Number of Days Pending,17,34,102,109,145,166,171,215,281,588
