Component,Ex. 1,Ex. 2,Ex. 3,Ex. 4,Ex. 5,Ex. 6,Ex. 7(A),Ex. 7(B),Ex. 7(C),Ex. 7(D),Ex. 7(E),Ex. 7(F),Ex. 8,Ex. 9,
BIA,0,0,10,49,32,332,50,9,88,1,1,0,0,0,
BLM,0,3,25,55,110,186,20,5,43,1,6,7,0,11,
BOEM,0,0,0,4,12,11,0,0,2,0,0,0,0,3,
BOR,0,1,1,13,13,22,0,0,2,0,0,1,0,0,
BSEE,0,0,0,29,21,44,4,0,3,0,4,1,0,12,
FWS,0,3,4,41,103,132,35,1,42,10,33,7,0,0,
NPS,1,11,11,23,58,188,28,2,74,1,14,11,0,1,
OIG,0,0,2,5,13,56,8,0,43,0,2,0,0,0,
OS,0,0,3,26,39,71,3,1,12,0,6,0,0,0,
OSM,0,1,2,1,3,3,0,0,0,0,0,0,0,0,
SOL,0,0,0,0,19,4,1,0,0,0,0,0,0,0,
USGS,0,0,0,7,8,3,1,0,0,0,0,0,0,0,
Total,1,19,58,253,431,1052,150,18,309,13,66,27,0,27,
