Component,Description,No. of Times Used,Total
AF,United States Department of the Air Force,1,38
AF,United States Department of the Air Force,2,38
AF,United States Department of the Air Force,35,38
ARMY,United States Department of the Army,0,0
ASBCA,Armed Service Board of Contract Appeals,0,0
DCAA,Defense Contract Audit Agency,0,0
DCMA,Defense Contract Management Agency,0,0
DeCA,Defense Commissary Agency,0,0
DFAS,Defense Finance and Accounting Service,0,0
DIA,Defense Intelligence Agency,3,3
DISA,Defense Information Service Agency,0,0
DLA,Defense Logistic Agency,0,0
DoD IG,DEPARTMENT OF DEFENSE INSPECTOR GENERAL,3,3
DSS,Defense Security Service,0,0
DTRA,Defense Technology and Research Agency,2,2
NAVY,United States Department of the Navy,19,144
NAVY,United States Department of the Navy,125,144
NGA,National Geospatial Command,0,0
NRO,National Reconnaissance Office,0,0
NSA,National Security Agency,13,13
OSD/JS,Office of the Secretary of Defense/Joint Staff,21,25
OSD/JS,Office of the Secretary of Defense/Joint Staff,1,25
OSD/JS,Office of the Secretary of Defense/Joint Staff,3,25
Total,0,228,498
