Component,1-20 Days,21-40 Days,41-60 Days,61-80 Days,81-100 Days,101-120 Days,121-140 Days,141-160 Days,161-180 Days,181-200 Days,201-300 Days,301-400 Days,400+ Days,Total,
ARC,29,17,7,1,2,2,1,0,0,0,0,0,0,59,
DFRC,4,2,0,0,0,0,0,1,0,0,0,0,0,7,
GRC,19,2,4,0,0,0,0,0,0,0,0,0,0,25,
GSFC,45,12,17,7,2,0,1,0,0,0,0,0,0,84,
HQ,97,40,13,6,2,2,0,1,0,0,2,0,0,163,
JPL,7,0,0,0,0,0,1,0,0,0,0,0,0,8,
JSC,87,18,2,5,0,0,0,0,0,0,0,0,0,112,
KSC,24,9,6,3,0,0,1,0,0,0,0,0,0,43,
LaRC,13,5,1,0,0,1,0,0,0,0,0,0,0,20,
MSFC,9,9,0,1,0,0,0,0,0,0,0,0,0,19,
NSSC,3,3,0,0,0,0,0,0,0,0,1,0,0,7,
OGC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
OIG,2,1,2,0,0,0,0,0,0,0,0,0,0,5,
SSC,1,0,0,0,0,0,0,0,0,0,0,0,0,1,
Total,340,118,52,23,6,5,4,2,0,0,3,0,0,553,
