Component,1-20 Days,21-40 Days,41-60 Days,61-80 Days,81-100 Days,101-120 Days,121-140 Days,141-160 Days,161-180 Days,181-200 Days,201-300 Days,301-400 Days,400+ Days,Total,
BEP,27,6,0,0,0,0,0,0,0,0,0,0,0,33,
BPD,115,2,0,0,0,0,0,0,0,0,0,0,0,117,
CFPB,90,14,0,0,0,0,0,0,0,0,0,0,0,104,
DO,81,12,6,3,3,1,2,2,2,0,5,4,0,121,
FinCEN,133,0,0,0,0,0,0,0,0,0,0,0,0,133,
FMS,188,19,0,0,0,1,0,0,0,0,0,0,0,208,
IRS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
MINT,127,0,0,0,0,0,0,0,0,0,0,0,0,127,
OCC,1526,152,24,12,8,6,4,3,2,1,2,0,0,1740,
TIGTA,2,0,0,0,0,0,0,0,0,0,0,0,0,2,
TTB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Total,2289,205,30,15,11,8,6,5,4,1,7,4,0,2585,
