Component,1-20 Days,21-40 Days,41-60 Days,61-80 Days,81-100 Days,101-120 Days,121-140 Days,141-160 Days,161-180 Days,181-200 Days,201-300 Days,301-400 Days,400+ Days,Total,
PS,73,42,9,6,6,7,2,3,0,2,4,0,2,156,
OIG,8,7,1,2,2,2,1,0,0,0,0,0,0,23,
PIS,2,1,1,0,0,0,0,0,0,0,1,0,0,5,
Total,83,50,11,8,8,9,3,3,0,2,5,0,2,184,
