Component,1-20 Days,21-40 Days,41-60 Days,61-80 Days,81-100 Days,101-120 Days,121-140 Days,141-160 Days,161-180 Days,181-200 Days,201-300 Days,301-400 Days,400+ Days,Total,
FAA,428,456,201,74,34,21,13,27,13,14,31,16,25,1353,
FHWA,21,8,9,1,3,2,0,0,2,0,1,0,1,48,
FMCSA,16,68,338,63,17,6,1,2,1,0,2,1,0,515,
FRA,93,80,58,32,9,9,8,9,5,7,13,10,9,342,
FTA,1,0,2,0,0,0,0,1,0,0,0,0,0,4,
MARAD,0,1,1,0,0,0,0,0,0,0,0,1,0,3,
NHTSA,23,31,9,2,0,3,0,0,1,0,6,0,0,75,
OIG,1,1,0,1,1,2,1,1,1,0,3,1,0,13,
OST,87,40,17,10,7,2,4,4,4,1,6,2,4,188,
PHMSA,46,18,3,3,1,2,3,0,1,0,1,4,11,93,
RITA,4,0,1,0,0,0,0,0,0,0,0,0,0,5,
SLSDC,0,0,0,0,0,1,0,0,0,0,0,0,0,1,
Total,720,703,639,186,72,48,30,44,28,22,63,35,50,2640,
