Component,Ex. 1,Ex. 2,Ex. 3,Ex. 4,Ex. 5,Ex. 6,Ex. 7(A),Ex. 7(B),Ex. 7(C),Ex. 7(D),Ex. 7(E),Ex. 7(F),Ex. 8,Ex. 9,
ARC,0,8,0,48,37,40,0,0,1,1,0,0,0,0,
DFRC,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
GRC,0,7,7,15,1,2,0,0,0,0,0,0,0,0,
GSFC,0,0,14,59,4,6,1,0,0,0,0,0,0,0,
HQS,0,1,2,2,2,5,0,0,0,0,0,0,0,0,
JPL,0,3,4,6,0,5,0,0,0,0,0,0,0,0,
JSC,0,4,7,40,11,5,0,0,0,1,0,0,0,0,
KSC,0,1,5,26,5,22,0,0,14,0,0,0,0,0,
LaRC,0,1,6,6,1,1,0,0,0,0,0,0,0,0,
MSFC,0,5,3,57,14,3,0,0,1,0,0,0,0,0,
NSSC,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
OIG,0,8,2,1,11,12,2,0,21,1,1,0,0,0,
SSC,0,0,0,6,0,3,0,0,0,0,0,0,0,0,
Total,0,38,50,268,86,104,3,0,37,3,1,0,0,0,
