Component,Processing Costs,Litigation-Related Costs,Total Costs,Collected Amount,Collected Percentage,
BIS,122048,0,122048,10128.800000000001,8.3%,
Census,347194.67,0,347194.67,108.84,0.03%,
EDA,40587,0,40587,165.87,0.41%,
ESA,1650,0,1650,0,0.0%,
ITA,47513,12535.2,60048.2,0,0.0%,
MBDA,21912.25,0,21912.25,0,0.0%,
NIST,96894,10799.2,107693.2,26479.5,27.33%,
NOAA,1023372,18486.2,1041858.2,24139.5,2.36%,
NTIA,63851,0,63851,259.77,0.41%,
NTIS,10500,0,10500,0,0.0%,
OIG,269488,0,269488,0,0.0%,
OS,329892.74,8076.2,337968.94,520.46,0.16%,
PTO,275728,12837,288565,7342,2.66%,
Total,2650631,62734,2713364,69145,N/A,
