Component,Simple,Simple,Simple,Simple,Complex,Complex,Complex,Complex,Expedited,Expedited,Expedited,Expedited
,Median No. of Days,Average No. of Days,Lowest No. of Days,Highest No. of Days,Median No. of Days,Average No. of Days,Lowest No. of Days,Highest No. of Days,Median No. of Days,Average No. of Days,Lowest No. of Days,Highest No. of Days,
Office of the AG,60,82.07,1,253,372.5,454.18,62,1105,110,248,68,566,
Office of the DAG,62,72.53,3,212,283,359.16,19,1043,371,383.75,116,677,
Office of the Assoc. AG,62,90,48,160,354,400.92,1,1004,439,439,439,439,
Antitrust,9.5,11.3,1,23,408.5,443.28,37,1284,,,,,
ATF,,,,,17,25.19,,440,188,188,3,373,
BOP,8,24.17,,694,91,126.95,,647,4,24,3,65,
Civil,3,12.49,,105,37,48.06,,166,,,,,
Civil Rights,3,5.67,,50,76,124.28,,532,22,22,22,22,
COPS,,,,,8,8.16,,20,,,,,
Criminal,10,28.94,2,207,41,67.2,3,352,31,28.67,16,39,
CRS,,,,,33,33,33,33,,,,,
DEA,,,,,20,42.87,,655,21.5,48,1,176,
ENRD,17.5,20.83,,95,67.5,76.5,35,119,7,7,7,7,
EOIR,21,27.02,,589,24,28.18,,252,8,10.17,6,25,
EOUSA,,,,,76,151.52,1,1635,75,87,44,142,
EOUST,11.5,14.83,1,32,33,34.54,10,84,,,,,
FBI,71,88.32,,594,184,216.59,1,721,65,130.89,4,697,
FCSC,,,,,9,11.87,,47,,,,,
JMD,19.5,24.62,1,125,48,145.79,2,573,,,,,
NDIC,23,38,8,176,265,265,265,265,,,,,
NSD,2,3.28,,26,325.5,360.63,40,906,356.5,356.5,36,677,
OCDETF,9,9,9,9,91,91,81,101,,,,,
ODR,6,6.82,,16,,,,,,,,,
OFDT,13,16.4,3,29,41.5,41.5,11,72,21,24,21,30,
OIG,4,11.87,,172,88,81.75,9,155,,,,,
OIP,20,78.27,5,282,361,352.8,193,477,,,,,
OIPL,48,48,48,48,192.5,192.5,147,238,,,,,
OJP,9,22.44,,219,83,142.24,1,863,,,,,
OLA,54,79.79,4,246,452,488.33,208,774,352.5,352.5,116,589,
OLC,17.5,143.54,,583,443.5,501.32,41,1281,260,295.8,60,523,
OLP,9,10.67,,47,143,254.57,32,570,410,410,410,410,
OPR,16,31.67,6,120,18,81.29,3,408,,,,,
OSG,14.5,17.27,3,76,54.5,121,4,357,,,,,
OVW,10,12.15,,41,,,,,,,,,
Pardon Attorney,6,15.09,,433,57,57,57,57,,,,,
Public Affairs,67.5,67.5,5,130,351,305.31,95,489,,,,,
PRAO,5,82.14,2,533,,,,,,,,,
TAX,3.5,9.5,1,28,41,63.5,25,165,,,,,
USMS,1,10.41,,197,90,66,2,106,9.5,9.5,9,10,
USNCB,8.5,23.88,2,200,197,172.44,34,390,,,,,
USPC,3,8.29,,183,33,60.02,,335,,,,,
Total,18,28,0,694,60,124,0,1635,60,144,1,697,
