Component,1-20 Days,21-40 Days,41-60 Days,61-80 Days,81-100 Days,101-120 Days,121-140 Days,141-160 Days,161-180 Days,181-200 Days,201-300 Days,301-400 Days,400+ Days,Total,
BPA,33,5,2,1,0,0,0,0,0,0,0,0,0,41,
CBFO,13,0,0,0,0,0,0,0,1,0,0,0,0,14,
CH,58,1,0,0,0,0,0,0,0,0,0,0,0,59,
EMCBC,17,9,7,3,0,0,0,3,0,0,1,0,0,40,
GFO,243,17,4,1,1,1,1,0,0,0,0,0,0,268,
HQ,352,102,87,51,35,33,20,16,12,7,35,12,16,778,
ID,37,2,0,0,0,0,0,0,0,0,0,0,0,39,
NETL,30,13,6,0,1,0,0,0,0,0,0,0,0,50,
NNSA,15,1,1,1,0,0,0,0,0,0,0,0,1,19,
NR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
NRLFO,3,2,1,0,0,0,0,0,0,0,0,1,0,7,
ORO,103,69,33,18,9,3,0,1,1,0,0,0,0,237,
OSTI,11,0,1,0,0,0,0,0,0,0,0,0,0,12,
ROO,78,12,1,2,1,0,0,0,0,0,0,0,0,94,
SEPA,6,0,0,0,0,0,0,0,0,0,0,0,0,6,
SPR,6,0,0,0,0,0,0,0,0,0,0,0,0,6,
SRO,37,3,0,1,0,0,0,0,0,0,0,0,0,41,
SWPA,9,1,0,0,0,0,0,0,0,0,0,0,0,10,
WAPA,33,0,0,1,0,0,0,0,0,0,0,0,0,34,
Total,1084,237,143,79,47,37,21,20,14,7,36,13,17,1755,
