Component,Ex. 1,Ex. 2,Ex. 3,Ex. 4,Ex. 5,Ex. 6,Ex. 7(A),Ex. 7(B),Ex. 7(C),Ex. 7(D),Ex. 7(E),Ex. 7(F),Ex. 8,Ex. 9,
OM-PIRMS,0,1,0,1,4,8,4,0,13,0,1,0,0,0,
Total,0,1,0,1,4,8,4,0,13,0,1,0,0,0,
