Statute,Type of Information Withheld,Case Citation,Number of Times Relied upon per Component,Number of Times Relied upon per Component,Total Number of Times Relied upon by Agency
50 U.S.C. § 3024(i)(1),Protects information pertaining to intelligence sources and methods pursuant to the National Security Act of 1947.,"CIA v. Sims, 471 U.S. 159 (1985)",96,ODNI,96
50 U.S.C. § 3024(m)(1),"Protects, among other things, the names and identifying information of ODNI personnel",,90,ODNI,90
