Component,1-20 Days,21-40 Days,41-60 Days,61-80 Days,81-100 Days,101-120 Days,121-140 Days,141-160 Days,161-180 Days,181-200 Days,201-300 Days,301-400 Days,400+ Days,Total,
HQ,318,86,39,29,14,13,5,13,6,4,12,0,0,539,
OIG,10,45,8,0,0,0,0,0,0,0,0,0,0,63,
R01,2,45,8,0,0,0,0,0,0,0,0,0,0,55,
R02,46,18,5,1,0,0,0,0,0,0,0,0,0,70,
R03,85,20,1,0,0,0,0,0,0,0,0,0,0,106,
R04,165,27,4,4,0,0,0,0,0,0,0,0,0,200,
R05,50,52,0,0,0,0,0,0,0,0,0,0,0,102,
R06,126,15,3,3,0,0,0,0,0,0,0,0,0,147,
R07,26,7,1,0,0,0,0,0,0,0,0,0,0,34,
R08,47,32,7,4,0,0,1,0,0,0,0,0,0,91,
R09,100,32,14,7,4,0,0,2,0,0,0,0,0,159,
R0X,53,13,1,1,1,0,0,0,0,0,0,0,0,69,
Total,1028,392,91,49,19,13,6,15,6,4,12,0,0,1635,
