Statute,Type of Information Withheld,Case Citation,Number of Times Relied upon per Component,Number of Times Relied upon per Component,Total Number of Times Relied upon by Agency
49 U.S.C. §1114 (b)(3),Voluntarily provided safety-related information if it is not related to the exercise of the NTSB?s accident or incident investigation authority and if the NTSB finds that the disclosure would inhibit the voluntary provision of that type.,N/A,3,NTSB,3
49 U.S.C. §1114 (f),"Any information relating to Board participation in foreign aircraft accidents, where the country conducting the investigation has not issued its report or two years have not elapsed from the date of the accident.",N/A,5,NTSB,5
