Component,1-20 Days,21-40 Days,41-60 Days,61-80 Days,81-100 Days,101-120 Days,121-140 Days,141-160 Days,161-180 Days,181-200 Days,201-300 Days,301-400 Days,400+ Days,Total,
FSA,68,52,8,3,2,2,3,0,1,2,15,8,6,170,
IES,18,9,3,0,0,0,0,0,0,0,0,1,0,31,
IES-NAGB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
OCFO,2,0,0,0,0,0,0,0,0,0,0,0,0,2,
OCFO-CAM,17,9,1,0,0,0,0,0,0,0,2,2,5,36,
OCFO-FSS,0,0,0,0,0,0,0,0,0,0,1,2,0,3,
OCIO,2,0,0,0,0,0,0,0,0,0,1,0,0,3,
OCO,0,0,0,0,0,0,0,0,0,0,0,1,0,1,
OCR,27,11,4,0,0,1,0,0,0,0,1,0,0,44,
OCR-Atlanta,44,14,5,3,5,1,1,0,1,0,1,0,0,75,
OCR-Boston,56,7,4,1,0,0,1,0,0,0,0,0,0,69,
OCR-Chicago,86,0,0,0,0,0,0,0,0,0,0,0,0,86,
OCR-Cleveland,25,0,0,0,0,0,0,0,0,0,0,0,0,25,
OCR-Dallas,38,4,0,1,0,1,0,0,0,0,0,0,0,44,
OCR-Denver,44,3,1,0,0,0,0,0,0,0,0,0,0,48,
OCR-Kansas City,19,5,3,1,2,3,0,2,0,0,1,0,0,36,
OCR-Metro,53,5,2,1,1,1,0,1,0,0,0,0,0,64,
OCR-New York,88,22,15,1,2,4,2,0,3,1,1,1,0,140,
OCR-Philadelphia,17,15,11,5,4,0,1,0,1,1,2,0,3,60,
OCR-San Francisco,41,0,0,0,0,0,0,0,0,0,0,0,0,41,
OCR-Seattle,15,0,0,0,0,0,0,0,0,0,0,0,0,15,
OELA,1,0,0,0,0,0,0,0,0,0,0,0,0,1,
OESE,20,2,3,3,0,1,0,0,0,0,6,0,0,35,
OGC,3,1,0,0,0,1,1,0,0,0,4,3,1,14,
OIG,11,7,2,1,0,0,0,0,0,0,0,0,0,21,
OII,8,3,1,0,1,0,0,0,0,0,1,3,5,22,
OLCA,0,0,0,0,0,0,0,0,0,0,0,2,0,2,
OM,9,6,0,1,0,0,0,0,0,0,1,0,0,17,
OM-RIMS,154,11,7,3,1,0,0,0,0,0,2,4,4,186,
OPE,19,6,2,0,0,0,0,0,0,0,2,6,1,36,
OPEPD,10,0,0,0,0,0,0,0,0,0,0,0,3,13,
OS,1,1,0,1,0,0,0,0,0,0,1,0,0,4,
OSDFS,4,5,6,2,0,0,2,2,0,0,6,0,0,27,
OSERS,11,4,0,1,2,1,0,0,0,0,2,0,0,21,
OUS,2,0,1,0,0,0,0,0,0,0,0,0,0,3,
OVAE,1,0,0,0,0,0,0,0,0,0,0,0,0,1,
Total,914,202,79,28,20,16,11,5,6,4,50,33,28,1396,
