Statute,Type of Information Withheld,Case Citation,Number of Times Relied upon per Component,Number of Times Relied upon per Component,Total Number of Times Relied upon by Agency
41 USC 4702(b),Contractor proposals that are in the possession or control of an executive agency and that have not been set forth or incorporated by reference into contracts,"Sinkfield v. HUD, No. 10-885, 2012 U.S. Dist. LEXIS 35223, at *13-15 (S.D. Ohio Mar. 15, 2012); Margolin v. NASA, No. 09-CV-00421, 2011 WL 1303221, at *6 (D. Nev. Mar. 31, 2011); Hornbostel v. U.S. Department of the Interior, 305 F. Supp. 2d 21, 30 (D.D.C. 2003), summary affirmance granted, No. 03-5257, 2004 WL 1900562 (D.C. Cir. Aug. 25, 2004)",1,HQ,5
41 USC 4702(b),Contractor proposals that are in the possession or control of an executive agency and that have not been set forth or incorporated by reference into contracts,"Sinkfield v. HUD, No. 10-885, 2012 U.S. Dist. LEXIS 35223, at *13-15 (S.D. Ohio Mar. 15, 2012); Margolin v. NASA, No. 09-CV-00421, 2011 WL 1303221, at *6 (D. Nev. Mar. 31, 2011); Hornbostel v. U.S. Department of the Interior, 305 F. Supp. 2d 21, 30 (D.D.C. 2003), summary affirmance granted, No. 03-5257, 2004 WL 1900562 (D.C. Cir. Aug. 25, 2004)",3,R04,5
41 USC 4702(b),Contractor proposals that are in the possession or control of an executive agency and that have not been set forth or incorporated by reference into contracts,"Sinkfield v. HUD, No. 10-885, 2012 U.S. Dist. LEXIS 35223, at *13-15 (S.D. Ohio Mar. 15, 2012); Margolin v. NASA, No. 09-CV-00421, 2011 WL 1303221, at *6 (D. Nev. Mar. 31, 2011); Hornbostel v. U.S. Department of the Interior, 305 F. Supp. 2d 21, 30 (D.D.C. 2003), summary affirmance granted, No. 03-5257, 2004 WL 1900562 (D.C. Cir. Aug. 25, 2004)",1,R08,5
42 USC 3610(d),Records pertaining to conciliatoin of disputes regarding allegations of unfair housing practices; information derived from housing discrimination investigations and any final invetigative reports pertaining to such investigations,"West v. Jackson, 448 F. Supp. 2d 207, 212-13 (D.D.C. 2006), summary affirmance granted, No. 06-5281, 2007 WL 1723362 (D.C. Cir. Mar. 6, 2007).",1,R07,6
42 USC 3610(d),Records pertaining to conciliatoin of disputes regarding allegations of unfair housing practices; information derived from housing discrimination investigations and any final invetigative reports pertaining to such investigations,"West v. Jackson, 448 F. Supp. 2d 207, 212-13 (D.D.C. 2006), summary affirmance granted, No. 06-5281, 2007 WL 1723362 (D.C. Cir. Mar. 6, 2007).",2,R09,6
42 USC 3610(d),Records pertaining to conciliatoin of disputes regarding allegations of unfair housing practices; information derived from housing discrimination investigations and any final invetigative reports pertaining to such investigations,"West v. Jackson, 448 F. Supp. 2d 207, 212-13 (D.D.C. 2006), summary affirmance granted, No. 06-5281, 2007 WL 1723362 (D.C. Cir. Mar. 6, 2007).",3,R0X,6
42 USC 3537a,Covered selected information during the grant selection process,,1,HQ,1
