Component,1-20 Days,21-40 Days,41-60 Days,61-80 Days,81-100 Days,101-120 Days,121-140 Days,141-160 Days,161-180 Days,181-200 Days,201-300 Days,301-400 Days,400+ Days,Total,
ARC,16,4,1,0,0,0,0,0,0,0,0,0,2,23,
DFRC,0,4,1,0,0,1,1,0,0,0,1,0,0,8,
GRC,17,7,5,1,0,0,0,0,0,0,0,0,0,30,
GSFC,43,9,11,6,4,1,0,0,0,0,0,0,0,74,
HQ,63,20,8,1,2,0,1,0,0,1,5,1,4,106,
JPL,36,0,0,0,0,0,0,0,0,0,0,0,0,36,
JSC,66,25,13,4,3,2,0,0,0,0,0,0,0,113,
KSC,23,7,5,1,2,2,1,0,0,0,0,0,0,41,
LaRC,12,3,2,1,0,0,0,0,0,0,0,0,0,18,
MSFC,11,3,1,1,0,0,0,0,0,0,0,0,0,16,
NSSC,8,2,0,1,0,0,0,0,0,0,0,0,0,11,
OGC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
OIG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
SSC,1,0,0,0,0,0,0,0,0,0,0,0,0,1,
Total,296,84,47,16,11,6,3,0,0,1,6,1,6,477,
