Component,1-20 Days,21-40 Days,41-60 Days,61-80 Days,81-100 Days,101-120 Days,121-140 Days,141-160 Days,161-180 Days,181-200 Days,201-300 Days,301-400 Days,400+ Days,Total,
Admin,1,0,0,1,0,0,0,0,0,0,0,0,1,3,
BVA,1,0,0,0,1,0,0,0,0,0,0,1,0,3,
C&LA,1,0,2,0,0,0,0,1,0,0,0,0,0,4,
CFM,15,9,1,8,1,2,4,3,2,3,19,23,18,108,
GC,20,5,6,3,4,2,3,1,0,2,1,0,0,47,
HRM,0,1,1,0,1,2,0,0,1,0,0,0,0,6,
IG,153,143,55,27,19,2,2,0,0,1,0,0,0,402,
Mgmt,3,1,0,0,2,0,0,0,0,0,1,1,0,8,
NCA,4,4,8,2,14,0,1,0,0,0,3,0,0,36,
OAL,52,26,9,2,3,3,5,1,5,0,5,0,0,111,
OASHRA,0,0,0,0,0,1,0,0,0,1,0,0,1,3,
OASP&IA,0,1,0,0,0,1,0,0,0,0,0,0,0,2,
ODASB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ODASIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ODI,1,0,0,0,0,0,0,0,0,0,0,0,0,1,
OIT,15,5,1,7,3,3,0,1,1,0,2,3,2,43,
ORM,2,0,0,0,1,0,0,0,0,0,0,0,0,3,
OSDBU,14,0,1,0,1,0,0,0,0,0,0,0,1,17,
OSP,2,0,0,0,0,0,0,0,0,0,0,0,0,2,
P&P,1,0,0,0,0,0,0,0,0,0,0,0,0,1,
PA,1,0,0,0,0,0,0,0,0,0,3,0,1,5,
SEC,12,11,5,1,4,0,0,1,0,0,2,0,0,36,
VBA,609,140,130,57,19,20,13,3,3,8,40,18,20,1080,
VHA,1652,532,203,91,54,48,29,27,16,23,130,24,8,2837,
Total,2559,878,422,199,127,84,57,38,28,38,206,70,52,4758,
