Component,1-20 Days,21-40 Days,41-60 Days,61-80 Days,81-100 Days,101-120 Days,121-140 Days,141-160 Days,161-180 Days,181-200 Days,201-300 Days,301-400 Days,400+ Days,Total,
PS,51,48,6,5,2,4,3,1,3,0,5,0,1,129,
OIG,5,3,0,2,0,0,0,0,0,0,0,0,0,10,
PIS,0,1,0,0,0,0,0,0,0,0,0,0,0,1,
Total,56,52,6,7,2,4,3,1,3,0,5,0,1,140,
