Component,1-20 Days,21-40 Days,41-60 Days,61-80 Days,81-100 Days,101-120 Days,121-140 Days,141-160 Days,161-180 Days,181-200 Days,201-300 Days,301-400 Days,400+ Days,Total,
FSA,29,21,14,2,7,3,2,2,1,0,4,0,1,86,
IES,7,5,1,3,1,1,1,0,0,1,1,0,0,21,
OCFO,1,0,1,0,0,0,0,0,0,0,0,0,0,2,
OCFO-CAM,2,4,3,2,4,3,2,1,1,0,3,1,0,26,
OCFO-FSS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
OCIO,2,0,2,0,0,0,0,0,0,0,0,0,0,4,
OCO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
OCR,10,8,3,5,2,0,1,0,1,0,1,0,0,31,
OCR-Atlanta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
OCR-Boston,11,5,6,7,3,0,0,0,0,0,0,0,0,32,
OCR-Chicago,2,3,0,0,0,0,0,0,0,0,0,0,0,5,
OCR-Cleveland,0,2,0,0,0,0,0,0,0,0,0,0,0,2,
OCR-Dallas,8,13,0,1,1,1,0,0,0,0,0,0,0,24,
OCR-Denver,2,1,5,1,0,0,1,0,0,0,0,0,0,10,
OCR-Kansas City,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
OCR-Metro,2,2,0,0,0,0,0,0,0,0,0,0,0,4,
OCR-New York,3,2,0,0,0,1,0,0,0,0,0,0,0,6,
OCR-Philadelphia,1,1,0,0,0,0,0,0,0,0,0,0,0,2,
OCR-San Francisco,5,1,0,0,0,0,0,0,0,0,0,0,0,6,
OCR-Seattle,54,12,0,0,0,0,0,0,0,0,0,0,0,66,
OELA,0,1,0,0,1,1,0,1,0,1,0,1,0,6,
OESE,3,4,7,6,2,2,3,1,0,1,3,0,2,34,
OGC,0,0,0,0,0,1,0,0,0,0,0,0,2,3,
OIG,2,1,2,0,0,0,0,0,0,0,0,0,0,5,
OII,4,6,9,3,2,0,0,0,0,1,0,2,1,28,
OLCA,0,0,0,0,0,0,0,0,0,0,1,0,0,1,
OM,4,5,2,1,1,0,1,0,0,0,0,0,0,14,
OM-RIMS,13,7,6,8,4,2,1,3,1,2,2,0,2,51,
OPE,9,4,8,6,2,2,1,0,1,0,0,1,2,36,
OPEPD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
OS,1,0,0,0,0,0,0,0,0,0,0,0,1,2,
OSDFS,2,0,3,0,1,1,4,2,0,0,0,2,0,15,
OSERS,3,5,3,1,2,2,2,3,0,1,2,0,0,24,
OUS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
OVAE,0,0,0,0,1,0,0,0,0,0,0,0,0,1,
Total,180,113,75,46,34,20,19,13,5,7,17,7,11,547,
