Component,1-20 Days,21-40 Days,41-60 Days,61-80 Days,81-100 Days,101-120 Days,121-140 Days,141-160 Days,161-180 Days,181-200 Days,201-300 Days,301-400 Days,400+ Days,Total,
ARC,1,0,0,1,0,0,0,0,0,0,0,0,1,3,
DFRC,0,1,0,0,0,0,0,0,0,0,0,0,0,1,
GRC,17,4,1,0,1,0,0,0,0,0,0,0,1,24,
GSFC,67,41,22,8,4,2,3,1,0,0,4,0,0,152,
HQ,51,16,6,6,5,8,9,6,8,6,17,8,12,158,
JPL,19,2,0,1,0,0,0,0,0,0,0,0,0,22,
JSC,160,40,6,6,1,2,0,1,1,1,0,1,0,219,
KSC,25,14,5,4,2,1,1,0,0,1,0,1,0,54,
LaRC,18,10,1,1,0,0,0,0,2,0,0,0,4,36,
MSFC,5,5,3,0,1,0,0,0,0,0,0,0,0,14,
NSSC,1,2,1,0,1,0,0,0,0,0,0,0,1,6,
OGC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
OIG,1,0,0,0,0,0,0,0,0,0,0,0,0,1,
SSC,0,0,0,0,0,0,0,1,0,0,0,1,0,2,
Total,365,135,45,27,15,13,13,9,11,8,21,11,19,692,
