Component,1-20 Days,21-40 Days,41-60 Days,61-80 Days,81-100 Days,101-120 Days,121-140 Days,141-160 Days,161-180 Days,181-200 Days,201-300 Days,301-400 Days,400+ Days,Total,
CBP,74,62,73,40,27,11,2,2,3,8,46,3,14,365,
CRCL,2,3,1,1,0,2,0,1,0,1,1,0,0,12,
FEMA,13,11,7,5,4,3,0,6,2,3,27,19,38,138,
FLETC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
I&A,3,3,4,0,0,2,0,0,0,0,0,0,0,12,
ICE,1411,225,84,57,41,24,29,11,8,6,29,22,44,1991,
MGMT,20,35,12,1,1,1,0,0,0,0,0,0,0,70,
NPPD,0,1,0,0,0,1,1,2,0,1,2,0,1,9,
OGC,0,0,0,0,1,1,0,2,0,0,1,0,0,5,
OIG,6,2,4,6,11,6,5,3,1,6,8,17,9,84,
OPS,15,3,1,1,0,0,0,0,0,0,0,0,0,20,
PLCY,0,0,4,1,4,1,4,0,0,0,2,1,0,17,
PRIV,33,27,15,12,2,7,4,0,0,1,2,2,2,107,
S&T,0,0,0,4,1,3,0,4,0,0,1,3,3,19,
TSA,128,68,60,47,36,29,15,24,18,12,41,6,6,490,
US-VISIT,5,0,2,1,1,0,0,0,0,0,0,0,0,9,
USCG,58,126,110,90,75,52,38,23,27,32,103,78,282,1094,
USCIS,5023,1997,883,553,347,256,186,238,201,234,1217,3958,29180,44273,
USSS,0,0,0,107,100,33,29,25,25,12,37,38,183,589,
Total,6791,2563,1260,926,651,432,313,341,285,316,1517,4147,29762,49304,
