,1-10 days,10-20 days,20-30 days,30-40 days,40-50 days,50-60 days,60-70 days,70-80 days,80-90 days,90-100 days,100-120 days,120-130 days,130-140 days,150-160 days
1st Quarter 2016,94,11,15,25,9,13,16,2,9,6,9,,,
2nd Quarter 2016,12,37,27,14,12,11,6,6,1,0,8,3,0,2
