Component,Ex. 1,Ex. 2,Ex. 3,Ex. 4,Ex. 5,Ex. 6,Ex. 7(A),Ex. 7(B),Ex. 7(C),Ex. 7(D),Ex. 7(E),Ex. 7(F),Ex. 8,Ex. 9
NRCS,0,0,73,0,0,26,0,0,0,0,0,0,0,0
OBPA,0,0,0,0,1,0,0,0,0,0,0,0,0,0
OCFO,0,0,0,0,1,1,0,0,0,0,0,0,0,0
OGC,0,0,0,1,9,1,0,0,0,0,0,0,0,0
OIG,0,3,0,4,19,39,17,0,30,0,2,1,2,0
OSEC/OCIO,0,5,1,2,3,15,0,0,5,0,0,0,0,0
RD,0,2,0,52,35,108,15,0,27,0,4,0,0,0
REE,0,1,5,12,1,22,0,0,0,0,0,0,0,0
RMA,0,3,14,2,4,23,37,0,1,0,0,0,0,0
Component,Ex. 1,Ex. 2,Ex. 3,Ex. 4,Ex. 5,Ex. 6,Ex. 7(A),Ex. 7(B),Ex. 7(C),Ex. 7(D),Ex. 7(E),Ex. 7(F),Ex. 8,Ex. 9
AMS,0,3,1,38,11,47,6,0,6,1,0,0,0,0
APHIS,0,47,6,75,37,446,79,0,277,0,1,21,0,0
DM,0,0,0,8,0,7,0,0,0,0,0,0,0,0
FAS,0,0,0,6,2,4,0,0,0,0,0,0,0,0
FNCS,0,0,10,1,2,42,0,1,32,7,27,0,0,0
FS,0,41,29,82,71,293,10,2,99,2,6,0,0,2
FSA,8,5,306,11,32,293,3,0,6,1,0,0,0,0
FSIS,0,5,1,48,7,63,3,0,54,0,0,0,0,0
GIPSA,0,0,0,5,2,4,6,0,9,0,1,0,0,0
NRCS,0,1,33,10,1,46,0,0,0,0,0,0,0,0
OCFO,0,0,1,0,0,0,0,0,0,0,0,0,0,0
OGC,0,0,0,0,8,2,0,0,0,0,0,0,0,0
OIG,0,13,2,26,36,107,17,0,81,0,7,11,0,0
OSEC,0,7,0,2,11,16,0,0,1,0,0,0,0,1
RD,0,0,1,53,27,66,1,0,9,0,0,0,0,0
REE,0,1,3,13,3,19,0,0,0,0,0,0,0,0
RMA,0,1,8,7,12,17,6,0,3,0,1,0,0,0
Component,Ex. 1,Ex. 2,Ex. 3,Ex. 4,Ex. 5,Ex. 6,Ex. 7(A),Ex. 7(B),Ex. 7(C),Ex. 7(D),Ex. 7(E),Ex. 7(F),Ex. 8,Ex. 9
Component,Ex. 1,Ex. 2,Ex. 3,Ex. 4,Ex. 5,Ex. 6,Ex. 7(A),Ex. 7(B),Ex. 7(C),Ex. 7(D),Ex. 7(E),Ex. 7(F),Ex. 8,Ex. 9
