Component,1-20 Days,21-40 Days,41-60 Days,61-80 Days,81-100 Days,101-120 Days,121-140 Days,141-160 Days,161-180 Days,181-200 Days,201-300 Days,301-400 Days,400+ Days,Total,Year
Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008
Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008
Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009
Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009
NCPC,19,0,0,0,0,0,0,0,0,0,0,0,0,19,2010
Total,19,0,0,0,0,0,0,0,0,0,0,0,0,19,2010
NCPC,17,0,0,0,0,0,0,0,0,0,0,0,0,17,2011
Total,17,0,0,0,0,0,0,0,0,0,0,0,0,17,2011
NCPC,13,0,0,0,0,0,0,0,0,0,0,0,0,13,2012
Total,13,0,0,0,0,0,0,0,0,0,0,0,0,13,2012
NCPC,9,0,0,0,0,0,0,0,0,0,0,0,0,9,2013
Total,9,0,0,0,0,0,0,0,0,0,0,0,0,9,2013
NCPC,13,0,0,0,0,0,0,0,0,0,0,0,0,13,2014
Total,13,0,0,0,0,0,0,0,0,0,0,0,0,13,2014
NCPC,3,0,0,0,0,0,0,0,0,0,0,0,0,3,2015
Total,3,0,0,0,0,0,0,0,0,0,0,0,0,3,2015
