Component,1-20 Days,21-40 Days,41-60 Days,61-80 Days,81-100 Days,101-120 Days,121-140 Days,141-160 Days,161-180 Days,181-200 Days,201-300 Days,301-400 Days,400+ Days,Total,Year
OSHRC,73,0,0,0,0,0,0,0,0,0,0,0,0,73,2008
Total,73,0,0,0,0,0,0,0,0,0,0,0,0,73,2008
OSHRC,55,0,0,0,0,0,0,0,0,0,0,0,0,55,2009
Total,55,0,0,0,0,0,0,0,0,0,0,0,0,55,2009
OSHRC,5,55,0,0,0,0,0,0,0,0,0,0,0,60,2010
Total,5,55,0,0,0,0,0,0,0,0,0,0,0,60,2010
OSHRC,76,0,0,0,0,0,0,0,0,0,0,0,0,76,2011
Total,76,0,0,0,0,0,0,0,0,0,0,0,0,76,2011
OSHRC,81,0,0,0,0,0,0,0,0,0,0,0,0,81,2012
Total,81,0,0,0,0,0,0,0,0,0,0,0,0,81,2012
OSHRC,44,2,0,0,0,0,0,0,0,0,0,0,0,46,2013
Total,44,2,0,0,0,0,0,0,0,0,0,0,0,46,2013
OSHRC,55,2,0,0,0,0,0,0,0,0,0,0,0,57,2014
Total,55,2,0,0,0,0,0,0,0,0,0,0,0,57,2014
OSHRC,45,0,0,0,0,0,0,0,0,0,0,0,0,45,2015
Total,45,0,0,0,0,0,0,0,0,0,0,0,0,45,2015
