Component,1-20 Days,21-40 Days,41-60 Days,61-80 Days,81-100 Days,101-120 Days,121-140 Days,141-160 Days,161-180 Days,181-200 Days,201-300 Days,301-400 Days,400+ Days,Total,Year
Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008
Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008
Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009
Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009
NEA,127,8,2,1,1,0,0,0,0,0,0,1,2,142,2010
Total,127,8,2,1,1,0,0,0,0,0,0,1,2,142,2010
NEA,100,9,4,1,0,0,0,0,0,0,0,0,4,118,2011
Total,100,9,4,1,0,0,0,0,0,0,0,0,4,118,2011
NEA,83,25,2,0,0,0,0,0,0,0,0,0,0,110,2012
Total,83,25,2,0,0,0,0,0,0,0,0,0,0,110,2012
NEA,48,10,2,4,4,3,0,0,0,0,1,1,0,73,2013
Total,48,10,2,4,4,3,0,0,0,0,1,1,0,73,2013
NEA,50,11,1,0,0,0,0,0,0,0,0,0,0,62,2014
Total,50,11,1,0,0,0,0,0,0,0,0,0,0,62,2014
NEA,49,3,0,0,0,0,0,0,0,0,0,0,0,52,2015
Total,49,3,0,0,0,0,0,0,0,0,0,0,0,52,2015
