Component,1-20 Days,21-40 Days,41-60 Days,61-80 Days,81-100 Days,101-120 Days,121-140 Days,141-160 Days,161-180 Days,181-200 Days,201-300 Days,301-400 Days,400+ Days,Total,Year
OST,107,15,6,0,2,0,0,0,0,0,0,1,0,131,2014
PHMSA,40,15,10,7,5,3,7,2,0,0,0,2,1,92,2014
RITA,12,5,0,0,0,0,0,0,0,0,0,0,0,17,2014
SLSDC,9,2,0,0,0,0,0,0,0,0,0,0,0,11,2014
Total,6555,1075,408,395,166,73,35,20,5,9,24,16,35,8816,2014
FAA,6779,637,88,88,21,28,12,8,8,5,22,12,31,7739,2015
FHWA,187,46,10,5,0,0,0,0,0,0,0,0,0,248,2015
FMCSA,83,158,106,63,217,242,104,53,16,3,5,1,1,1052,2015
FRA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015
FTA,143,114,8,5,2,1,0,0,0,0,0,0,0,273,2015
MARAD,39,13,9,1,2,2,0,0,0,0,0,1,3,70,2015
NHTSA,117,38,6,6,4,2,1,3,4,5,7,1,0,194,2015
OIG,41,15,7,7,6,0,5,5,6,3,3,0,0,98,2015
OST,97,27,19,10,15,4,13,5,1,1,6,1,0,199,2015
PHMSA,74,17,8,4,4,5,5,0,1,0,6,1,0,125,2015
RITA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015
SLSDC,27,1,0,0,0,0,0,0,0,0,0,0,0,28,2015
Total,7587,1066,261,189,271,284,140,74,36,17,49,17,35,10026,2015
