Component,1-20 Days,21-40 Days,41-60 Days,61-80 Days,81-100 Days,101-120 Days,121-140 Days,141-160 Days,161-180 Days,181-200 Days,201-300 Days,301-400 Days,400+ Days,Total,Year
USIBWC,17,7,0,0,0,0,0,0,0,0,0,0,0,24,2008
Total,17,7,0,0,0,0,0,0,0,0,0,0,0,24,2008
Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009
Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009
USIBWC,24,5,0,0,0,0,0,0,0,0,0,0,0,29,2010
Total,24,5,0,0,0,0,0,0,0,0,0,0,0,29,2010
USIBWC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2011
Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2011
USIBWC,7,0,0,0,0,0,0,0,0,0,0,0,0,7,2012
Total,7,0,0,0,0,0,0,0,0,0,0,0,0,7,2012
USIBWC,4,4,0,0,0,0,0,0,0,0,0,0,0,8,2013
Total,4,4,0,0,0,0,0,0,0,0,0,0,0,8,2013
USIBWC,19,6,8,0,0,0,0,0,0,0,0,0,0,33,2014
Total,19,6,8,0,0,0,0,0,0,0,0,0,0,33,2014
USIBWC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015
Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015
