Component,1-20 Days,21-40 Days,41-60 Days,61-80 Days,81-100 Days,101-120 Days,121-140 Days,141-160 Days,161-180 Days,181-200 Days,201-300 Days,301-400 Days,400+ Days,Total,Year
OGE,41,1,0,0,0,0,0,0,0,0,0,0,0,42,2008
Total,41,1,0,0,0,0,0,0,0,0,0,0,0,42,2008
OGE,66,6,0,0,0,0,0,0,0,0,0,0,0,72,2009
Total,66,6,0,0,0,0,0,0,0,0,0,0,0,72,2009
OGE,78,8,0,0,0,0,0,0,1,0,0,0,0,87,2010
Total,78,8,0,0,0,0,0,0,1,0,0,0,0,87,2010
OGE,60,11,1,0,0,0,0,0,0,0,0,0,0,72,2011
Total,60,11,1,0,0,0,0,0,0,0,0,0,0,72,2011
OGE,43,5,1,0,0,0,0,0,0,0,0,0,0,49,2012
Total,43,5,1,0,0,0,0,0,0,0,0,0,0,49,2012
OGE,40,2,0,0,0,0,0,0,0,0,0,0,0,42,2013
Total,40,2,0,0,0,0,0,0,0,0,0,0,0,42,2013
OGE,26,2,1,0,0,0,0,0,0,0,0,0,0,29,2014
Total,26,2,1,0,0,0,0,0,0,0,0,0,0,29,2014
OGE,54,12,0,0,1,0,0,0,1,0,0,0,1,69,2015
Total,54,12,0,0,1,0,0,0,1,0,0,0,1,69,2015
