Component,1-20 Days,21-40 Days,41-60 Days,61-80 Days,81-100 Days,101-120 Days,121-140 Days,141-160 Days,161-180 Days,181-200 Days,201-300 Days,301-400 Days,400+ Days,Total,Year
FCA,28,0,0,0,0,0,0,0,0,0,0,0,0,28,2008
Total,28,0,0,0,0,0,0,0,0,0,0,0,0,28,2008
FCA,32,0,0,0,0,0,0,0,0,0,0,0,0,32,2009
Total,32,0,0,0,0,0,0,0,0,0,0,0,0,32,2009
FCA,26,0,0,0,0,0,0,0,0,0,0,0,0,26,2010
Total,26,0,0,0,0,0,0,0,0,0,0,0,0,26,2010
FCA,35,0,0,0,0,0,0,0,0,0,0,0,0,35,2011
Total,35,0,0,0,0,0,0,0,0,0,0,0,0,35,2011
FCA,28,0,0,0,0,0,0,0,0,0,0,0,0,28,2012
Total,28,0,0,0,0,0,0,0,0,0,0,0,0,28,2012
FCA,28,0,0,0,0,0,0,0,0,0,0,0,0,28,2013
Total,28,0,0,0,0,0,0,0,0,0,0,0,0,28,2013
FCA,37,0,0,0,0,0,0,0,0,0,0,0,0,37,2014
Total,37,0,0,0,0,0,0,0,0,0,0,0,0,37,2014
FCA,35,0,0,0,0,0,0,0,0,0,0,0,0,35,2015
Total,35,0,0,0,0,0,0,0,0,0,0,0,0,35,2015
