Component,1-20 Days,21-40 Days,41-60 Days,61-80 Days,81-100 Days,101-120 Days,121-140 Days,141-160 Days,161-180 Days,181-200 Days,201-300 Days,301-400 Days,400+ Days,Total,Year
Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008
Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008
Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009
Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009
HQ,17,3,1,0,0,0,0,0,0,0,0,0,0,21,2010
Total,17,3,1,0,0,0,0,0,0,0,0,0,0,21,2010
NTSB,10,9,1,1,0,0,0,0,0,0,0,0,0,21,2011
Total,10,9,1,1,0,0,0,0,0,0,0,0,0,21,2011
NTSB,17,11,2,0,0,0,0,0,0,0,0,0,0,30,2012
Total,17,11,2,0,0,0,0,0,0,0,0,0,0,30,2012
NTSB,64,41,9,5,3,0,0,0,0,0,1,0,1,124,2013
Total,64,41,9,5,3,0,0,0,0,0,1,0,1,124,2013
NTSB,107,6,4,1,3,0,0,0,0,0,0,1,0,122,2014
Total,107,6,4,1,3,0,0,0,0,0,0,1,0,122,2014
NTSB,14,3,2,1,0,1,0,0,0,0,2,2,2,27,2015
Total,14,3,2,1,0,1,0,0,0,0,2,2,2,27,2015
